Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,NSW,Asbestos (N220),C&D,Recycling,0.0
2006,NSW,Asbestos (N220),C&I,Disposal,95766.01446143816
2006,NSW,Asbestos (N220),C&I,Energy recovery,0.0
2006,NSW,Asbestos (N220),C&I,Recycling,0.0
2006,NSW,Asbestos (N220),Total,Disposal,208186.98795964816
2006,NSW,Asbestos (N220),Total,Energy recovery,0.0
2006,NSW,Asbestos (N220),Total,Recycling,0.0
2006,NSW,Ash,C&I,Long-term storage,3753432.7064365065
2006,NSW,Ash,C&I,Recycling,2861906.208383913
2006,NSW,Ash,Total,Long-term storage,3753432.7064365065
2006,NSW,Ash,Total,Recycling,2861906.208383913
2006,NSW,Biosolids,C&I,Disposal,79949.5171107822
2006,NSW,Biosolids,C&I,Recycling,315590.19912150863
2006,NSW,Biosolids,Total,Disposal,79949.5171107822
2006,NSW,Biosolids,Total,Recycling,315590.19912150863
2006,NSW,Clinical and pharmaceutical (R),C&D,Disposal,0.0
2006,NSW,Clinical and pharmaceutical (R),C&D,Energy recovery,0.0
2006,NSW,Clinical and pharmaceutical (R),C&D,Recycling,0.0
2006,NSW,Clinical and pharmaceutical (R),C&I,Disposal,11332.586933134175
2006,NSW,Clinical and pharmaceutical (R),C&I,Energy recovery,0.0
2006,NSW,Clinical and pharmaceutical (R),C&I,Recycling,55.977084867256025
2006,NSW,Clinical and pharmaceutical (R),Total,Disposal,11332.586933134175
2006,NSW,Clinical and pharmaceutical (R),Total,Energy recovery,0.0
2006,NSW,Clinical and pharmaceutical (R),Total,Recycling,55.977084867256025
2006,NSW,Contaminated soils (N120),C&D,Disposal,240303.6622192219
2006,NSW,Contaminated soils (N120),C&D,Energy recovery,0.0
2006,NSW,Contaminated soils (N120),C&D,Recycling,87545.34162648431
2006,NSW,Contaminated soils (N120),C&I,Disposal,93451.4241963641
2006,NSW,Contaminated soils (N120),C&I,Energy recovery,0.0
2006,NSW,Contaminated soils (N120),C&I,Recycling,34045.41063252168
2006,NSW,Contaminated soils (N120),Total,Disposal,333755.086415586
